Annual Hash Growth,Block Height,Block Interval,Block Size,Blockchain Size,Daily Blocks,Chain Value Density,Daily Transactions,Difficulty,Fee Percentage,Two-Week Hash Growth,Hash Rate,Market Capitalization,Metcalfe's Law - TX,Metcalfe's Law - UTXO,Miner Revenue Value,Miner Revenue,Money Supply,Output Value,Output Volume,Bitcoin Price,Quarterly Hash Growth,Total Transactions,Transaction Amount,Transaction Fees,Transaction Size,Transaction Value,Transactions per Block,Avg. UTXO Amount,UTXO Growth,UTXO Set Size,Avg. UTXO Value,Velocity - Daily,Velocity - Quarterly,Velocity of Money
58400.8,68784,491,805,22309312,173,8082.42,421,182,0.000306362,847.195,0.001624375,171960,0.45,0.18,432.51,8650.13,3439200,2121.67,42433.39,0.05,1863.75,87090,53.73760915,0.13,207,2.69,2,59.8091,-18,57503,2.99,0.0123382,1.55252,1.85198
66500.5,68956,480,796,22446201,172,12885.14,420,182,0.0040671,969.128,0.001816172,275824,0.73,0.29,688.06,8600.79,3447800,1553.87,19423.36,0.08,2052.74,87510,39.31491492,0.79,201,3.15,2,59.9305,27,57530,4.79,0.00563378,1.54743,1.85299
72133.5,69130,494,800,22585455,174,14442.76,508,182,0.000112296,1011.56,0.001928744,311085,0.65,0.33,783,8700.05,3456500,4007.25,44525.04,0.09,2161.81,88018,68.66987678,0.05,207,6.18,3,59.9036,171,57701,5.39,0.0128816,1.55222,1.86121
70182.8,69311,477,1091,22782880,181,12760.08,604,182,0,981.53,0.001941541,277244,0.48,0.29,724,9050,3465550,2510.9,31386.29,0.08,2006.8,88622,47.42264521,0,242,3.79,3,59.8954,159,57860,4.79,0.00905665,1.55488,1.86366
70460.4,69518,418,604,22907871,207,12728.36,454,182,0,1015.06,0.002024373,278072,0.66,0.29,828,10350,3475900,2166.56,27082.02,0.08,2093.14,89076,52.74344066,0,196,4.22,2,59.9293,140,58000,4.79,0.00779137,1.5518,1.8659
70564.1,69694,487,572,23008621,176,9528.53,397,182,0,1047.8,0.002052438,209082,0.58,0.22,528,8800,3484700,2326.44,38774.03,0.06,2117.74,89473,156.9340999,0,187,9.42,2,59.8478,226,58226,3.59,0.0111269,1.55789,1.87232
53328.5,69888,446,531,23111622,194,9512.47,414,182,4.73E-05,767.767,0.00165048,209664,0.55,0.22,582,9700.01,3494400,1269.48,21157.98,0.06,1672.53,89887,59.3259705,0.01,180,3.56,2,59.7844,224,58450,3.59,0.00605483,1.55622,1.87317
50726.4,70077,454,1520,23398815,189,7850.94,889,182,0,755.513,0.00167116,175192.5,0.19,0.18,472.5,9450,3503850,2171.57,43431.45,0.05,1725.65,90776,186.1497278,0,283,9.31,5,59.8243,119,58569,2.99,0.0123954,1.55988,1.88052
59335.8,70308,369,3224,24143625,231,7633.82,1822,182,0.00621406,758.892,0.001747415,175770,0.08,0.18,577.65,11552.91,3515400,2341.32,46826.36,0.05,1816.68,92598,81.39008979,2.91,586,4.07,8,59.9488,71,58640,3,0.0133212,1.56318,1.88766
61771.3,70551,353,1003,24387394,243,9100.37,470,182,0.00172396,529.802,0.001836596,211653,0.48,0.22,729.09,12151.5,3527550,5220.46,87007.6,0.06,1862.53,93068,97.21180477,1.5,239,5.83,2,60.8282,-648,57992,3.65,0.0246656,1.58149,1.90582
70505.8,70717,523,764,24514236,166,9074.58,425,244,0.00200131,290.597,0.001890297,212151,0.54,0.22,498.04,8300.67,3535850,2008.65,33477.46,0.06,1987.88,93493,85.08731373,0.67,227,5.11,3,60.8643,102,58094,3.65,0.0094682,1.58458,1.91082
79455.4,70876,535,4922,25296880,159,8813.6,3019,244,0.00159146,195.647,0.001898265,212628,0.06,0.22,477.06,7951.05,3543800,3958.56,65976.08,0.06,2018.62,96512,44.81608013,1.05,249,2.69,19,61.3836,-362,57732,3.68,0.0186176,1.59836,1.92515
101425,71056,481,1125,25499462,180,10226.75,799,244,0.00451309,143.052,0.001982687,248696,0.3,0.25,630.06,9000.89,3552800,1380.37,19719.54,0.07,2124.48,97311,53.7389093,0.89,190,3.76,4,61.308,218,57950,4.29,0.00555067,1.58258,1.92579
131541,71238,476,614,25611152,182,10208.23,323,244,0.0015417,42.717,0.00204731,249333,0.86,0.25,637.02,9100.3,3561900,1362.11,19458.78,0.07,2167.18,97634,46.81212834,0.3,245,3.28,2,61.4725,-7,57943,4.3,0.00546312,1.58249,1.92632
141029,71441,425,473,25707189,203,10199.08,297,244,0.00200753,32.6531,0.002154784,250043.5,0.95,0.25,710.52,10150.31,3572050,1080.91,15441.58,0.07,2292.4,97931,45.40190066,0.31,199,3.18,1,61.5924,52,57995,4.31,0.00432298,1.58111,1.92517
147228,71680,358,431,25810269,239,8736.28,363,244,0.000107316,25.0076,0.002270353,215040,0.65,0.22,717.02,11950.29,3584000,16213.83,270230.47,0.06,2431.69,98294,264.1747438,0.29,192,15.85,2,61.6443,145,58140,3.7,0.0753992,1.64853,1.99415
